No,Park Name,Municipality,Location Raw,Tags Raw
142,上尾丸山公園,上尾市,埼玉県 上尾市,自然豊か動物子供の遊び場アウトドア
143,小泉氷川山公園,上尾市,埼玉県 上尾市,スポーツ
144,中分スポーツ公園,上尾市,埼玉県 上尾市,
145,谷塚第6公園,草加市,埼玉県 草加市,
146,レイクタウン湖畔の森公園,越谷市,埼玉県 越谷市,
147,レイクタウンスポーツ公園,越谷市,埼玉県 越谷市,
148,彩湖・道満グリーンパーク,戸田市,埼玉県 戸田市,自然豊か風景・景色
149,ボール公園,戸田市,埼玉県 戸田市,スポーツ
150,芦原ちびっこ広場,戸田市,埼玉県 戸田市,
151,富士見公園,入間市,埼玉県 入間市,
152,県営）彩の森入間公園,入間市,埼玉県 入間市,自然豊か風景・景色紅葉の名所ペットスポーツアウトドア安全・安心
153,新光中央公園,入間市,埼玉県 入間市,
154,朝霞中央公園,朝霞市,埼玉県 朝霞市,
155,北朝霞公園,朝霞市,埼玉県 朝霞市,
156,いずみ公園,朝霞市,埼玉県 朝霞市,
157,青葉台公園,朝霞市,埼玉県 朝霞市,スポーツ
158,総合運動公園,新座市,埼玉県 新座市,
159,城山公園,桶川市,埼玉県 桶川市,風景・景色桜梅の名所紅葉の名所子供の遊び場
160,駅西口公園,桶川市,埼玉県 桶川市,
161,桶川市子ども公園わんぱく村,桶川市,埼玉県 桶川市,
162,舎人公園,桶川市,埼玉県 桶川市,
163,下日出谷中央公園,桶川市,埼玉県 桶川市,スポーツ
164,県営）権現堂公園,久喜市,埼玉県 久喜市,自然豊か風景・景色桜梅の名所花木・草花安全・安心
165,森下緑地グラウンド,久喜市,埼玉県 久喜市,
166,久喜市総合運動公園,久喜市,埼玉県 久喜市,スポーツ
167,清久公園,久喜市,埼玉県 久喜市,
168,桜田運動公園,久喜市,埼玉県 久喜市,スポーツ
169,上大崎運動公園,久喜市,埼玉県 久喜市,スポーツ
170,あやめ公園,久喜市,埼玉県 久喜市,
171,寺田緑地グラウンド,久喜市,埼玉県 久喜市,
172,青葉公園,久喜市,埼玉県 久喜市,スポーツ
173,深井スポーツ広場,北本市,埼玉県 北本市,
174,天神下公園,北本市,埼玉県 北本市,スポーツ自然豊か
175,高尾スポーツ広場,北本市,埼玉県 北本市,
176,中丸スポーツ広場,北本市,埼玉県 北本市,
177,黒浜公園,蓮田市,埼玉県 蓮田市,スポーツ
178,堂山公園,蓮田市,埼玉県 蓮田市,
179,根ヶ谷戸公園,蓮田市,埼玉県 蓮田市,
180,山ノ内公園,蓮田市,埼玉県 蓮田市,
181,西城沼公園,蓮田市,埼玉県 蓮田市,自然豊か風景・景色子供の遊び場
182,中道公園,蓮田市,埼玉県 蓮田市,スポーツ
183,芦山公園,坂戸市,埼玉県 坂戸市,
184,坂戸市民総合運動公園,坂戸市,埼玉県 坂戸市,スポーツ
185,稲荷久保公園,坂戸市,埼玉県 坂戸市,
186,溝端公園,坂戸市,埼玉県 坂戸市,スポーツ
187,神扇グラウンド,幸手市,埼玉県 幸手市,
188,幸手総合公園,幸手市,埼玉県 幸手市,スポーツアウトドア
189,上吉羽中央公園,幸手市,埼玉県 幸手市,
190,上吉羽西公園,幸手市,埼玉県 幸手市,
191,千塚西公園,幸手市,埼玉県 幸手市,
192,鶴ヶ島市運動公園,鶴ヶ島市,埼玉県 鶴ヶ島市,桜梅の名所スポーツ
193,鶴ヶ島南近隣公園,鶴ヶ島市,埼玉県 鶴ヶ島市,スポーツ
194,脚折近隣公園,鶴ヶ島市,埼玉県 鶴ヶ島市,スポーツ
195,富士見中央近隣公園,鶴ヶ島市,埼玉県 鶴ヶ島市,安全・安心自然豊かスポーツ子供の遊び場アウトドア
196,巾着田曼珠沙華公園,日高市,埼玉県 日高市,
197,日高総合公園,日高市,埼玉県 日高市,自然豊か
198,丘の上公園,日高市,埼玉県 日高市,
199,西ノ原中央公園,ふじみ野市,埼玉県 ふじみ野市,
200,福岡中央公園,ふじみ野市,埼玉県 ふじみ野市,
201,高岩公園,白岡市,埼玉県 白岡市,
202,ふれあいの森公園,白岡市,埼玉県 白岡市,子供の遊び場アウトドア
203,白岡公園,白岡市,埼玉県 白岡市,
204,白岡市総合運動公園,白岡市,埼玉県 白岡市,スポーツ
205,伊奈町制施行記念公園,北足立郡 伊奈町,埼玉県 北足立郡 伊奈町,自然豊か花木・草花
206,内宿台公園,北足立郡 伊奈町,埼玉県 北足立郡 伊奈町,
207,中部公園,北足立郡 伊奈町,埼玉県 北足立郡 伊奈町,
208,毛呂山総合公園,入間郡 毛呂山町,埼玉県 入間郡 毛呂山町,スポーツ
209,都第一公園,比企郡 滑川町,埼玉県 比企郡 滑川町,
210,菅谷公園,比企郡 嵐山町,埼玉県 比企郡 嵐山町,
211,蜻蛉橋上緑地,比企郡 嵐山町,埼玉県 比企郡 嵐山町,
212,志賀２区第１公園,比企郡 嵐山町,埼玉県 比企郡 嵐山町,
213,花見台第２公園,比企郡 嵐山町,埼玉県 比企郡 嵐山町,
214,花見台第１公園,比企郡 嵐山町,埼玉県 比企郡 嵐山町,
215,みどりが丘中央公園,比企郡 小川町,埼玉県 比企郡 小川町,
216,南部緑地,比企郡 吉見町,埼玉県 比企郡 吉見町,
217,東部緑地,比企郡 吉見町,埼玉県 比企郡 吉見町,
218,ふれあい広場,比企郡 吉見町,埼玉県 比企郡 吉見町,
219,皆野スポーツ公園,秩父郡 皆野町,埼玉県 秩父郡 皆野町,スポーツ
220,新宿ふれあい公園,児玉郡 神川町,埼玉県 児玉郡 神川町,
221,神川ゆ～ゆ～ランド,児玉郡 神川町,埼玉県 児玉郡 神川町,風景・景色桜梅の名所花木・草花子供の遊び場
222,烏川・神流川総合運動公園,児玉郡 上里町,埼玉県 児玉郡 上里町,
223,寄居運動公園,大里郡 寄居町,埼玉県 大里郡 寄居町,スポーツ
224,はらっパーク宮代,南埼玉郡 宮代町,埼玉県 南埼玉郡 宮代町,アウトドア
225,杉戸西近隣公園,北葛飾郡 杉戸町,埼玉県 北葛飾郡 杉戸町,
226,倉松公園,北葛飾郡 杉戸町,埼玉県 北葛飾郡 杉戸町,スポーツ
227,県営）まつぶし緑の丘公園,北葛飾郡 松伏町,埼玉県 北葛飾郡 松伏町,自然豊か風景・景色花木・草花子供の遊び場アウトドア安全・安心
228,田島東公園,北葛飾郡 松伏町,埼玉県 北葛飾郡 松伏町,
229,松伏記念公園,北葛飾郡 松伏町,埼玉県 北葛飾郡 松伏町,スポーツ
230,松伏総合公園,北葛飾郡 松伏町,埼玉県 北葛飾郡 松伏町,風景・景色花木・草花
231,かがり火公園,北葛飾郡 松伏町,埼玉県 北葛飾郡 松伏町,
